사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2024-10,1호선,0150,서울역,"1,479,842","1,383,881","247,854","238,567"
2024-10,1호선,0151,시청,"705,315","722,224","140,635","139,726"
2024-10,1호선,0152,종각,"968,038","947,571","168,194","153,881"
2024-10,1호선,0153,종로3가,"523,067","468,707","314,434","286,503"
2024-10,1호선,0154,종로5가,"478,549","468,453","264,459","257,493"
2024-10,1호선,0155,동대문,"259,000","255,355","136,685","136,002"
2024-10,1호선,0156,신설동,"307,507","297,152","130,432","126,891"
2024-10,1호선,0157,제기동,"248,172","237,547","298,189","321,631"
2024-10,1호선,0158,청량리(서울시립대입구),"424,052","407,760","302,708","302,367"
2024-10,1호선,0159,동묘앞,"169,167","177,809","175,134","177,898"
2024-10,2호선,0201,시청,"725,719","686,332","75,302","69,916"
2024-10,2호선,0202,을지로입구,"1,356,538","1,378,245","114,346","104,680"
2024-10,2호선,0203,을지로3가,"649,314","644,955","78,390","77,043"
2024-10,2호선,0204,을지로4가,"344,157","343,110","79,540","79,304"
2024-10,2호선,0205,동대문역사문화공원(DDP),"419,944","488,839","63,156","68,644"
2024-10,2호선,0206,신당,"361,522","379,886","98,348","100,425"
2024-10,2호선,0207,상왕십리,"356,181","345,007","74,572","75,961"
2024-10,2호선,0208,왕십리(성동구청),"425,759","379,058","55,822","51,137"
2024-10,2호선,0209,한양대,"356,110","393,069","15,734","17,073"
2024-10,2호선,0210,뚝섬,"713,678","736,837","71,101","70,528"
2024-10,2호선,0211,성수,"1,287,720","1,429,635","107,048","107,530"
2024-10,2호선,0212,건대입구,"1,034,625","1,072,960","102,295","105,740"
2024-10,2호선,0213,구의(광진구청),"635,429","610,171","115,844","116,340"
2024-10,2호선,0214,강변(동서울터미널),"747,427","691,436","131,988","127,386"
2024-10,2호선,0215,잠실나루,"350,508","337,191","96,218","95,989"
2024-10,2호선,0216,잠실(송파구청),"2,168,208","2,132,630","243,582","227,843"
2024-10,2호선,0217,잠실새내,"591,805","574,463","124,373","122,319"
2024-10,2호선,0218,종합운동장,"293,883","341,766","62,269","66,767"
2024-10,2호선,0219,삼성(무역센터),"1,396,228","1,421,976","125,724","116,554"
2024-10,2호선,0220,선릉,"1,333,349","1,173,657","249,171","219,673"
2024-10,2호선,0221,역삼,"1,215,446","1,400,983","151,371","155,997"
2024-10,2호선,0222,강남,"2,102,192","2,098,456","165,608","144,903"
2024-10,2호선,0223,교대(법원.검찰청),"715,352","866,019","158,095","187,737"
2024-10,2호선,0224,서초,"555,593","531,584","97,417","94,566"
2024-10,2호선,0225,방배,"429,895","444,133","83,433","82,296"
2024-10,2호선,0226,사당,"1,029,574","1,145,540","237,515","230,242"
2024-10,2호선,0227,낙성대(강감찬),"720,375","694,802","122,763","124,709"
2024-10,2호선,0228,서울대입구(관악구청),"1,208,113","1,164,110","192,546","182,727"
2024-10,2호선,0229,봉천,"562,829","511,213","163,482","162,674"
2024-10,2호선,0230,신림,"1,448,889","1,402,131","214,759","214,511"
2024-10,2호선,0231,신대방,"627,973","596,234","143,264","142,631"
2024-10,2호선,0232,구로디지털단지,"1,442,432","1,423,036","221,314","221,399"
2024-10,2호선,0233,대림(구로구청),"598,747","608,860","146,271","149,921"
2024-10,2호선,0234,신도림,"1,284,635","1,271,860","254,005","239,594"
2024-10,2호선,0235,문래,"565,004","590,374","95,424","95,319"
2024-10,2호선,0236,영등포구청,"535,858","558,659","112,466","112,227"
2024-10,2호선,0237,당산,"500,222","575,452","67,770","73,056"
2024-10,2호선,0238,합정,"925,293","1,013,884","75,065","77,177"
2024-10,2호선,0239,홍대입구,"2,163,254","2,364,679","108,498","106,434"
2024-10,2호선,0240,신촌,"1,056,908","1,081,417","134,842","131,694"
2024-10,2호선,0241,이대,"476,107","525,455","55,153","59,400"
2024-10,2호선,0242,아현,"265,938","243,989","70,207","68,600"
2024-10,2호선,0243,충정로(경기대입구),"244,855","261,244","49,654","50,065"
2024-10,2호선,0244,용답,"74,135","72,769","19,408","19,265"
2024-10,2호선,0245,신답,"38,095","42,216","10,670","10,950"
2024-10,2호선,0246,신설동,"82,108","76,094","34,855","36,276"
2024-10,2호선,0247,도림천,"28,994","30,338","9,297","10,618"
2024-10,2호선,0248,양천구청,"146,407","155,043","58,317","58,826"
2024-10,2호선,0249,신정네거리,"223,151","230,623","81,137","82,688"
2024-10,2호선,0250,용두(동대문구청),"50,907","50,582","26,413","27,482"
2024-10,3호선,0309,지축,"191,162","189,931","42,521","41,020"
2024-10,3호선,0310,구파발,"535,995","517,792","150,232","142,160"
2024-10,3호선,0311,연신내,"767,535","729,363","278,876","269,768"
2024-10,3호선,0312,불광,"364,055","385,349","154,363","172,409"
2024-10,3호선,0313,녹번,"372,615","334,621","87,437","85,808"
2024-10,3호선,0314,홍제,"401,369","375,404","156,874","153,374"
2024-10,3호선,0315,무악재,"97,562","94,477","35,772","38,234"
2024-10,3호선,0316,독립문,"174,945","186,623","83,815","85,485"
2024-10,3호선,0317,경복궁(정부서울청사),"781,444","822,590","115,148","116,091"
2024-10,3호선,0318,안국,"781,274","809,660","122,219","128,230"
2024-10,3호선,0319,종로3가,"285,456","331,367","72,074","80,661"
2024-10,3호선,0320,을지로3가,"301,473","297,067","50,652","47,382"
2024-10,3호선,0321,충무로,310,0,3,0
2024-10,3호선,0322,동대입구,"329,398","373,777","46,655","50,627"
2024-10,3호선,0323,약수,"302,636","297,976","89,043","83,395"
2024-10,3호선,0324,금호,"185,110","170,418","58,619","57,476"
2024-10,3호선,0325,옥수,"212,329","217,057","67,628","67,037"
2024-10,3호선,0326,압구정,"767,273","830,135","153,191","153,002"
2024-10,3호선,0327,신사,"737,047","780,736","75,423","72,854"
2024-10,3호선,0328,잠원,"121,807","115,557","35,282","33,688"
2024-10,3호선,0329,고속터미널,"1,325,131","1,261,249","237,425","223,671"
2024-10,3호선,0330,교대(법원.검찰청),"393,606","227,800","92,426","53,435"
2024-10,3호선,0331,남부터미널(예술의전당),"751,979","765,999","138,404","140,515"
2024-10,3호선,0332,양재(서초구청),"893,735","968,759","162,480","163,262"
2024-10,3호선,0333,매봉,"282,093","272,879","78,969","73,206"
